,average_rank,borda_score,majority_votes,final_rank
lag_1h,1.0,912.0,8,1
lag_24h,8.125,855.0,7,2
roll_max_12h,16.625,787.0,6,3
lag_2h,19.0,768.0,6,4
lag_3h,19.25,766.0,5,5
roll_mean_24h,19.375,765.0,5,6
roll_max_6h,20.125,759.0,7,7
ewm_alpha03,20.5,756.0,6,8
temp_cubed,23.6875,730.5,4,9
roll_median_24h,25.75,714.0,5,10
roll_min_6h,26.375,709.0,6,11
ewm_alpha01,28.0,696.0,4,12
temp_squared,28.875,689.0,2,13
roll_min_12h,31.0,672.0,1,14
roll_min_24h,31.25,670.0,1,15
demand_rel_week,31.375,669.0,5,16
roll_max_24h,32.0,664.0,4,17
lag_48h,32.375,661.0,4,18
lag_72h,34.0,648.0,4,19
lag_168h,34.25,646.0,5,20
roll_mean_6h,35.0,640.0,4,21
roll_mean_48h,35.5,636.0,4,22
CDH,35.625,635.0,2,23
hour,36.375,629.0,1,24
roll_mean_12h,36.625,627.0,3,25
HDH,37.5,620.0,3,26
temp_lag_1h,41.125,591.0,3,27
temp_x_hour,42.375,581.0,1,28
w10,43.375,573.0,4,29
w13,43.75,570.0,1,30
temp_x_month,44.0,568.0,2,31
demand_change_rate,44.5,564.0,2,32
sin_daily_1,44.625,563.0,0,33
lag_336h,44.875,561.0,1,34
sin_daily_2,44.875,561.0,1,34
roll_std_24h,45.0,560.0,0,36
w11,46.125,551.0,2,37
roll_min_48h,47.0,544.0,0,38
roll_min_168h,47.125,543.0,0,39
roll_max_48h,47.875,537.0,3,40
cos_daily_1,48.375,533.0,4,41
roll_mean_168h,48.75,530.0,0,42
CDH_x_afternoon,48.875,529.0,0,43
w2,49.25,526.0,1,44
roll_max_168h,49.5,524.0,0,45
temp_avg,49.5625,523.5,3,46
lag_6h,50.25,518.0,1,47
roll_median_168h,50.375,517.0,0,48
hour_x_month,50.625,515.0,0,49
w25,51.0,512.0,2,50
w23,51.125,511.0,1,51
roll_std_6h,51.625,507.0,0,52
roll_std_12h,51.875,505.0,0,53
temp_change_rate,52.125,503.0,3,54
w21,52.25,502.0,1,55
w19,53.0,496.0,0,56
w6,53.25,494.0,3,57
w24,55.125,479.0,1,58
w8,55.625,475.0,1,59
w15,55.625,475.0,0,59
w7,55.875,473.0,2,61
w22,56.0,472.0,3,62
roll_std_48h,56.375,469.0,0,63
cos_yearly_2,57.125,463.0,0,64
w1,57.375,461.0,0,65
w5,57.375,461.0,0,65
temp_lag_24h,58.375,453.0,0,67
temp_lag_168h,60.875,433.0,0,68
lag_12h,62.125,423.0,0,69
w9,62.125,423.0,0,69
w18,62.5,420.0,0,71
roll_std_168h,62.75,418.0,0,72
w17,63.75,410.0,0,73
sin_yearly_1,64.0,408.0,0,74
w16,64.75,402.0,0,75
w4,65.25,398.0,0,76
w12,65.75,394.0,0,77
w14,65.75,394.0,0,77
linear_trend,66.125,391.0,0,79
is_peak_hour,66.875,385.0,0,80
sin_yearly_2,69.25,366.0,0,81
w3,70.0,360.0,0,82
w20,70.25,358.0,0,83
cos_daily_2,71.0,352.0,1,84
cos_yearly_1,72.75,338.0,0,85
is_business_hour,76.75,306.0,1,86
temp_roll_mean_168h,76.875,305.0,0,87
temp_roll_mean_24h,77.25,302.0,0,88
dayofyear,77.75,298.0,0,89
year,78.875,289.0,0,90
temp_roll_std_24h,81.875,265.0,0,91
cos_yearly_3,82.75,258.0,0,92
hour_x_weekend,82.75,258.0,0,92
weekofyear,83.375,253.0,0,94
temp_x_weekend,85.875,233.0,0,95
dayhour_idx,87.625,219.0,0,96
sin_daily_3,87.625,219.0,0,96
dayofmonth,88.125,215.0,0,98
sin_daily_4,89.625,203.0,0,99
cos_daily_4,91.125,191.0,0,100
month,92.375,181.0,0,101
sin_weekly_1,93.625,171.0,0,102
cos_daily_3,94.625,163.0,0,103
cos_weekly_1,96.625,147.0,0,104
sin_weekly_2,97.125,143.0,0,105
cos_weekly_3,97.625,139.0,0,106
sin_yearly_3,98.625,131.0,0,107
dayofweek,98.625,131.0,0,107
cos_weekly_4,99.4375,124.5,0,109
is_holiday,99.5,124.0,0,110
cos_weekly_2,101.875,105.0,0,111
sin_weekly_4,102.4375,100.5,0,112
is_weekend,102.5,100.0,0,113
quarter,103.9375,88.5,0,114
sin_weekly_3,104.0625,87.5,0,115
