model,subset,n_folds,MAPE_mean,MAPE_std,MAPE_min,MAPE_max,MAPE_median
LightGBM,all,10,1.5117,0.6988,0.968,3.15,1.131
LightGBM,top_50,10,1.6373,0.7264,1.051,3.137,1.2265
LightGBM,top_30,10,1.6463,0.6775,1.078,3.062,1.2555
LightGBM,top_20,10,3.231,1.869,1.723,6.232,2.0055
LightGBM,top_10,10,3.3801,1.9442,1.769,6.626,2.116
LightGBM,top_5,10,3.6714,1.9259,1.986,6.77,2.549
LightGBM,lag_only,10,3.7385,1.9941,2.018,7.162,2.5475
LightGBM,zabin_22,10,4.048,2.2814,2.142,7.602,2.6
RandomForest,top_50,10,2.3279,1.0158,1.373,4.063,1.777
RandomForest,all,10,2.532,1.0609,1.505,4.633,2.021
RandomForest,top_30,10,2.5411,1.1779,1.444,4.092,1.8525
RandomForest,top_10,10,3.2355,1.995,1.543,6.458,1.9255
RandomForest,top_20,10,3.285,2.0374,1.559,6.439,1.968
RandomForest,top_5,10,3.5295,1.9792,1.799,6.671,2.3375
RandomForest,lag_only,10,3.8862,2.1024,2.011,7.216,2.5855
RandomForest,zabin_22,10,4.67,2.6675,2.435,8.579,2.976
XGBoost,all,10,1.5421,0.7096,1.028,3.262,1.167
XGBoost,top_50,10,1.6918,0.7145,1.106,3.159,1.279
XGBoost,top_30,10,1.7682,0.6935,1.174,3.248,1.3745
XGBoost,top_20,10,3.3366,1.8938,1.814,6.382,2.0885
XGBoost,top_10,10,3.5306,2.006,1.854,6.838,2.2425
XGBoost,top_5,10,3.8024,1.9776,2.047,6.948,2.6515
XGBoost,lag_only,10,3.9123,2.0077,2.163,7.305,2.7505
XGBoost,zabin_22,10,4.2705,2.2906,2.337,7.818,2.824
arima,all,10,56.8808,22.0965,23.676,90.838,60.311
arima,lag_only,10,56.8808,22.0965,23.676,90.838,60.311
arima,top_10,10,56.8808,22.0965,23.676,90.838,60.311
arima,top_20,10,56.8808,22.0965,23.676,90.838,60.311
arima,top_30,10,56.8808,22.0965,23.676,90.838,60.311
arima,top_5,10,56.8808,22.0965,23.676,90.838,60.311
arima,top_50,10,56.8808,22.0965,23.676,90.838,60.311
arima,zabin_22,10,56.8808,22.0965,23.676,90.838,60.311
lstm,top_10,10,3.8104,1.8949,1.967,7.065,2.943
lstm,top_5,10,3.8589,1.9179,2.128,7.293,2.8795
lstm,top_50,10,3.9334,1.9856,1.93,7.304,2.827
lstm,lag_only,10,3.9348,1.9424,1.925,7.64,3.098
lstm,zabin_22,10,3.9475,2.0401,1.978,7.545,3.019
lstm,top_30,10,4.0858,1.9304,2.007,7.045,3.8155
lstm,top_20,10,4.1292,1.9417,2.059,7.531,3.602
lstm,all,10,4.1675,1.9991,2.008,7.436,3.024
